range,count,take
"$1      -   $1,000",75410.00,34.90
"$1,001  -   $2,000",50230.00,74.40
"$2,001  -   $3,000",40550.00,101.00
"$3,001   -  $4,000",36160.00,126.50
"$4,001   -  $5,000",33320.00,149.90
"$5,001   -  $6,000",32210.00,177.10
"$6,001   -  $7,000",29770.00,193.40
"$7,001   -  $8,000",29650.00,222.30
"$8,001   -  $9,000",28410.00,241.40
"$9,001   - $10,000",27880.00,264.90
"$10,001  - $11,000",26890.00,282.30
"$11,001  - $12,000",26560.00,305.70
"$12,001  - $13,000",25690.00,321.30
"$13,001  - $14,000",24700.00,333.40
"$14,001  - $15,000",24360.00,353.20
"$15,001  - $16,000",23710.00,367.60
"$16,001  - $17,000",23040.00,380.20
"$17,001  - $18,000",23120.00,404.70
"$18,001  - $19,000",22820.00,422.10
"$19,001 -  $20,000",22440.00,437.70
"$20,000 -  $21,000",21670.00,444.20
"$21,001 -  $22,000",21290.00,457.70
"$22,001  - $23,000",20850.00,469.30
"$23,001  - $24,000",21350.00,501.80
"$24,001  - $25,000",20720.00,507.80
"$25,001  - $26,000",20660.00,526.90
"$26,001  - $27,000",20560.00,544.70
"$27,001  - $28,000",20130.00,553.70
"$28,001  - $29,000",19960.00,568.90
"$29,001  - $30,000",20490.00,604.80
"$30,001  - $31,000",19970.00,609.10
"$31,001  - $32,000",19960.00,628.70
"$32,001  - $33,000",20190.00,656.10
"$33,001  - $34,000",20260.00,678.60
"$34,001  - $35,000",19900.00,686.40
"$35,001  - $36,000",20630.00,732.70
"$36,001  - $37,000",20260.00,739.50
"$37,001  - $38,000",20110.00,754.40
"$38,001  - $39,000",20180.00,777.00
"$39,001 -  $40,000",20420.00,806.80
"$40,001  - $41,000",20380.00,825.40
"$41,001  - $42,000",20760.00,861.80
"$42,001  - $43,000",20480.00,870.60
"$43,001  - $44,000",21230.00,923.40
"$44,001  - $45,000",21480.00,956.00
"$45,001  - $46,000",21640.00,984.70
"$46,001  - $47,000",22500.00,1046.50
"$47,001  - $48,000",24710.00,1174.00
"$48,001  - $49,000",24180.00,1172.50
"$49,001  - $50,000",24680.00,1221.70
"$50,000  - $51,000",25990.00,1312.30
"$51,001  - $52,000",26540.00,1367.30
"$52,001  - $53,000",26850.00,1409.40
"$53,001  - $54,000",27400.00,1466.00
"$54,001  - $55,000",28290.00,1541.80
"$55,001  - $56,000",28020.00,1555.00
"$56,001  - $57,000",28430.00,1606.30
"$57,001  - $58,000",28770.00,1654.10
"$58,001  - $59,000",28820.00,1686.00
"$59,001  - $60,000",29620.00,1762.70
"$60,001  - $61,000",29650.00,1793.30
"$61,001  - $62,000",28530.00,1754.50
"$62,001  - $63,000",29270.00,1829.50
"$63,001  - $64,000",27970.00,1775.90
"$64,001  - $65,000",28550.00,1841.90
"$65,001  - $66,000",27760.00,1818.30
"$66,001  - $67,000",27450.00,1825.70
"$67,001  - $68,000",26930.00,1817.90
"$68,001  - $69,000",26640.00,1824.70
